Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Romeo Crennel,CLE,16,4,12,0,64,24,40,0,95,32,63,0,0,0,0,0,0,0,0,0,0,,2008
Wade Phillips,DAL,16,9,7,0,56,34,22,0,146,82,64,0,0,0,0,3,1,2,6,1,5,,2008
Mike Shanahan,DEN,16,8,8,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,2008
Rod Marinelli,DET,16,0,16,0,48,10,38,0,48,10,38,0,0,0,0,0,0,0,0,0,0,,2008
Mike McCarthy,GNB,16,6,10,0,204,125,77,2,270,166,102,2,0,0,0,18,10,8,21,11,10,,2008
Gary Kubiak,HOU,16,8,8,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,,2008
Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,1,0,1,13,7,6,19,9,10,,2008
Jack Del Rio,JAX,16,5,11,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,,2008
Herm Edwards,KAN,16,2,14,0,48,15,33,0,128,54,74,0,0,0,0,1,0,1,6,2,4,,2008
Tony Sparano,MIA,16,11,5,0,61,29,32,0,73,32,41,0,1,0,1,1,0,1,1,0,1,,2008
Brad Childress,MIN,16,10,6,0,74,39,35,0,74,39,35,0,1,0,1,3,1,2,3,1,2,,2008
Sean Payton,NOR,16,8,8,0,241,152,89,0,257,160,97,0,0,0,0,17,9,8,17,9,8,,2008
Bill Belichick,NWE,16,11,5,0,386,266,120,0,466,302,164,0,0,0,0,42,30,12,44,31,13,,2008
Tom Coughlin,NYG,16,12,4,0,192,102,90,0,320,170,150,0,1,0,1,11,8,3,19,12,7,,2008
Eric Mangini,NYJ,16,9,7,0,48,23,25,0,80,33,47,0,0,0,0,1,0,1,1,0,1,,2008
Tom Cable,OAK,12,4,8,0,44,17,27,0,44,17,27,0,0,0,0,0,0,0,0,0,0,Coach starting Week 5,2008
Lane Kiffin,OAK,4,1,3,0,20,5,15,0,20,5,15,0,0,0,0,0,0,0,0,0,0,Fired after Week 4,2008
Andy Reid,PHI,16,9,6,1,224,130,93,1,402,257,144,1,3,2,1,19,10,9,38,22,16,,2008
Mike Tomlin,PIT,16,12,4,0,274,172,100,2,274,172,100,2,3,3,0,17,8,9,17,8,9,Super Bowl Champions,2008
Norv Turner,SDG,16,8,8,0,96,56,40,0,237,114,122,1,2,1,1,6,3,3,8,4,4,,2008
Mike Holmgren,SEA,16,4,12,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,,2008
Mike Nolan,SFO,7,2,5,0,55,18,37,0,55,18,37,0,0,0,0,0,0,0,0,0,0,Fired after Week 7,2008
Mike Singletary,SFO,9,5,4,0,40,18,22,0,40,18,22,0,0,0,0,0,0,0,0,0,0,Coach starting Week 8,2008
Jim Haslett,STL,12,2,10,0,12,2,10,0,108,47,61,0,0,0,0,0,0,0,2,1,1,Coach starting Week 5,2008
Scott Linehan,STL,4,0,4,0,36,11,25,0,36,11,25,0,0,0,0,0,0,0,0,0,0,Fired after Week 4,2008
Jon Gruden,TAM,16,9,7,0,112,57,55,0,229,117,112,0,0,0,0,5,3,2,10,5,5,,2008
Jeff Fisher,TEN,16,13,3,0,262,142,120,0,339,173,165,1,1,0,1,11,5,6,11,5,6,,2008
Jim Zorn,WAS,16,8,8,0,32,12,20,0,32,12,20,0,0,0,0,0,0,0,0,0,0,,2008
Ken Whisenhunt,ARI,16,8,8,0,96,45,51,0,119,48,71,0,0,0,0,6,4,2,6,4,2,,2007
Emmitt Thomas,ATL,3,1,2,0,3,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,,2007
Bobby Petrino,ATL,13,3,10,0,13,3,10,0,13,3,10,0,0,0,0,0,0,0,0,0,0,,2007
Brian Billick,BAL,16,5,11,0,144,80,64,0,144,80,64,0,0,0,0,8,5,3,8,5,3,,2007
Dick Jauron,BUF,16,7,9,0,57,24,33,0,142,60,82,0,0,0,0,0,0,0,1,0,1,,2007
John Fox,CAR,16,7,9,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,,2007
Lovie Smith,CHI,16,7,9,0,144,81,63,0,193,92,100,1,0,0,0,6,3,3,6,3,3,,2007
Marvin Lewis,CIN,16,7,9,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,,2007
Romeo Crennel,CLE,16,10,6,0,64,24,40,0,95,32,63,0,0,0,0,0,0,0,0,0,0,,2007
Wade Phillips,DAL,16,13,3,0,56,34,22,0,146,82,64,0,1,0,1,3,1,2,6,1,5,,2007
Mike Shanahan,DEN,16,7,9,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,2007
Rod Marinelli,DET,16,7,9,0,48,10,38,0,48,10,38,0,0,0,0,0,0,0,0,0,0,,2007
Mike McCarthy,GNB,16,13,3,0,204,125,77,2,270,166,102,2,2,1,1,18,10,8,21,11,10,,2007
Gary Kubiak,HOU,16,8,8,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,,2007
Tony Dungy,IND,16,13,3,0,112,85,27,0,208,139,69,0,1,0,1,13,7,6,19,9,10,,2007
Jack Del Rio,JAX,16,11,5,0,139,68,71,0,187,93,94,0,2,1,1,3,1,2,4,1,3,,2007
Herm Edwards,KAN,16,4,12,0,48,15,33,0,128,54,74,0,0,0,0,1,0,1,6,2,4,,2007
Cam Cameron,MIA,16,1,15,0,16,1,15,0,16,1,15,0,0,0,0,0,0,0,0,0,0,,2007
Brad Childress,MIN,16,8,8,0,74,39,35,0,74,39,35,0,0,0,0,3,1,2,3,1,2,,2007
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,0,0,0,17,9,8,17,9,8,,2007
Bill Belichick,NWE,16,16,0,0,386,266,120,0,466,302,164,0,3,2,1,42,30,12,44,31,13,AFC Champions,2007
Tom Coughlin,NYG,16,10,6,0,192,102,90,0,320,170,150,0,4,4,0,11,8,3,19,12,7,Super Bowl Champions,2007
Eric Mangini,NYJ,16,4,12,0,48,23,25,0,80,33,47,0,0,0,0,1,0,1,1,0,1,,2007
Lane Kiffin,OAK,16,4,12,0,20,5,15,0,20,5,15,0,0,0,0,0,0,0,0,0,0,,2007
Andy Reid,PHI,16,8,8,0,224,130,93,1,402,257,144,1,0,0,0,19,10,9,38,22,16,,2007
Mike Tomlin,PIT,16,10,6,0,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,,2007
Norv Turner,SDG,16,11,5,0,96,56,40,0,237,114,122,1,3,2,1,6,3,3,8,4,4,,2007
Mike Holmgren,SEA,16,10,6,0,160,86,74,0,272,161,111,0,2,1,1,10,4,6,24,13,11,,2007
Mike Nolan,SFO,16,5,11,0,55,18,37,0,55,18,37,0,0,0,0,0,0,0,0,0,0,,2007
Scott Linehan,STL,16,3,13,0,36,11,25,0,36,11,25,0,0,0,0,0,0,0,0,0,0,,2007
Jon Gruden,TAM,16,9,7,0,112,57,55,0,229,117,112,0,1,0,1,5,3,2,10,5,5,,2007
Jeff Fisher,TEN,16,10,6,0,262,142,120,0,339,173,165,1,1,0,1,11,5,6,11,5,6,,2007
Joe Gibbs,WAS,16,9,7,0,248,154,94,0,248,154,94,0,1,0,1,24,17,7,24,17,7,,2007
Dennis Green,ARI,16,5,11,0,48,16,32,0,207,113,94,0,0,0,0,0,0,0,12,4,8,,2006
Jim Mora,ATL,16,7,9,0,48,26,22,0,64,31,33,0,0,0,0,2,1,1,2,1,1,,2006
Brian Billick,BAL,16,13,3,0,144,80,64,0,144,80,64,0,1,0,1,8,5,3,8,5,3,,2006
Dick Jauron,BUF,16,7,9,0,57,24,33,0,142,60,82,0,0,0,0,0,0,0,1,0,1,,2006
John Fox,CAR,16,8,8,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,,2006
Lovie Smith,CHI,16,13,3,0,144,81,63,0,193,92,100,1,3,2,1,6,3,3,6,3,3,NFC Champions,2006
Marvin Lewis,CIN,16,8,8,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,,2006
Romeo Crennel,CLE,16,4,12,0,64,24,40,0,95,32,63,0,0,0,0,0,0,0,0,0,0,,2006
Bill Parcells,DAL,16,9,7,0,64,34,30,0,303,172,130,1,1,0,1,2,0,2,19,11,8,,2006
Mike Shanahan,DEN,16,9,7,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,2006
Rod Marinelli,DET,16,3,13,0,48,10,38,0,48,10,38,0,0,0,0,0,0,0,0,0,0,,2006
Mike McCarthy,GNB,16,8,8,0,204,125,77,2,270,166,102,2,0,0,0,18,10,8,21,11,10,,2006
Gary Kubiak,HOU,16,6,10,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,,2006
Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,4,4,0,13,7,6,19,9,10,Super Bowl Champions,2006
Jack Del Rio,JAX,16,8,8,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,,2006
Herm Edwards,KAN,16,9,7,0,48,15,33,0,128,54,74,0,1,0,1,1,0,1,6,2,4,,2006
Nick Saban,MIA,16,6,10,0,32,15,17,0,32,15,17,0,0,0,0,0,0,0,0,0,0,,2006
Brad Childress,MIN,16,6,10,0,74,39,35,0,74,39,35,0,0,0,0,3,1,2,3,1,2,,2006
Sean Payton,NOR,16,10,6,0,241,152,89,0,257,160,97,0,2,1,1,17,9,8,17,9,8,,2006
Bill Belichick,NWE,16,12,4,0,386,266,120,0,466,302,164,0,3,2,1,42,30,12,44,31,13,,2006
Tom Coughlin,NYG,16,8,8,0,192,102,90,0,320,170,150,0,1,0,1,11,8,3,19,12,7,,2006
Eric Mangini,NYJ,16,10,6,0,48,23,25,0,80,33,47,0,1,0,1,1,0,1,1,0,1,,2006
Art Shell,OAK,16,2,14,0,108,56,52,0,108,56,52,0,0,0,0,5,2,3,5,2,3,,2006
Andy Reid,PHI,16,10,6,0,224,130,93,1,402,257,144,1,2,1,1,19,10,9,38,22,16,,2006
Bill Cowher,PIT,16,8,8,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,,2006
Marty Schottenheimer,SDG,16,14,2,0,80,47,33,0,327,200,126,1,1,0,1,2,0,2,18,5,13,,2006
Mike Holmgren,SEA,16,9,7,0,160,86,74,0,272,161,111,0,2,1,1,10,4,6,24,13,11,,2006
Mike Nolan,SFO,16,7,9,0,55,18,37,0,55,18,37,0,0,0,0,0,0,0,0,0,0,,2006
Scott Linehan,STL,16,8,8,0,36,11,25,0,36,11,25,0,0,0,0,0,0,0,0,0,0,,2006
Jon Gruden,TAM,16,4,12,0,112,57,55,0,229,117,112,0,0,0,0,5,3,2,10,5,5,,2006
Jeff Fisher,TEN,16,8,8,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,2006
Joe Gibbs,WAS,16,5,11,0,248,154,94,0,248,154,94,0,0,0,0,24,17,7,24,17,7,,2006
Dennis Green,ARI,16,5,11,0,48,16,32,0,207,113,94,0,0,0,0,0,0,0,12,4,8,,2005
Jim Mora,ATL,16,8,8,0,48,26,22,0,64,31,33,0,0,0,0,2,1,1,2,1,1,,2005
Brian Billick,BAL,16,6,10,0,144,80,64,0,144,80,64,0,0,0,0,8,5,3,8,5,3,,2005
Mike Mularkey,BUF,16,5,11,0,32,14,18,0,89,36,53,0,0,0,0,0,0,0,2,1,1,,2005
John Fox,CAR,16,11,5,0,144,73,71,0,256,133,123,0,3,2,1,8,5,3,15,8,7,,2005
Lovie Smith,CHI,16,11,5,0,144,81,63,0,193,92,100,1,1,0,1,6,3,3,6,3,3,,2005
Marvin Lewis,CIN,16,11,5,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,,2005
Romeo Crennel,CLE,16,6,10,0,64,24,40,0,95,32,63,0,0,0,0,0,0,0,0,0,0,,2005
Bill Parcells,DAL,16,9,7,0,64,34,30,0,303,172,130,1,0,0,0,2,0,2,19,11,8,,2005
Mike Shanahan,DEN,16,13,3,0,224,138,86,0,308,170,138,0,2,1,1,13,8,5,14,8,6,,2005
Dick Jauron,DET,5,1,4,0,5,1,4,0,142,60,82,0,0,0,0,0,0,0,1,0,1,Coach starting week 13,2005
Steve Mariucci,DET,11,4,7,0,43,15,28,0,139,72,67,0,0,0,0,0,0,0,7,3,4,Fired after week 12,2005
Mike Sherman,GNB,16,4,12,0,96,57,39,0,96,57,39,0,0,0,0,6,2,4,6,2,4,,2005
Dom Capers,HOU,16,2,14,0,64,18,46,0,128,48,80,0,0,0,0,0,0,0,2,1,1,,2005
Tony Dungy,IND,16,14,2,0,112,85,27,0,208,139,69,0,1,0,1,13,7,6,19,9,10,,2005
Jack Del Rio,JAX,16,12,4,0,139,68,71,0,187,93,94,0,1,0,1,3,1,2,4,1,3,,2005
Dick Vermeil,KAN,16,10,6,0,80,44,36,0,229,120,109,0,0,0,0,1,0,1,11,6,5,,2005
Nick Saban,MIA,16,9,7,0,32,15,17,0,32,15,17,0,0,0,0,0,0,0,0,0,0,,2005
Mike Tice,MIN,16,9,7,0,65,32,33,0,65,32,33,0,0,0,0,2,1,1,2,1,1,,2005
Jim Haslett,NOR,16,3,13,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,,2005
Bill Belichick,NWE,16,10,6,0,386,266,120,0,466,302,164,0,2,1,1,42,30,12,44,31,13,,2005
Tom Coughlin,NYG,16,11,5,0,192,102,90,0,320,170,150,0,1,0,1,11,8,3,19,12,7,,2005
Herm Edwards,NYJ,16,4,12,0,80,39,41,0,128,54,74,0,0,0,0,5,2,3,6,2,4,,2005
Norv Turner,OAK,16,4,12,0,32,9,23,0,237,114,122,1,0,0,0,0,0,0,8,4,4,,2005
Andy Reid,PHI,16,6,10,0,224,130,93,1,402,257,144,1,0,0,0,19,10,9,38,22,16,,2005
Bill Cowher,PIT,16,11,5,0,240,149,90,1,240,149,90,1,4,4,0,21,12,9,21,12,9,Super Bowl Champions,2005
Marty Schottenheimer,SDG,16,9,7,0,80,47,33,0,327,200,126,1,0,0,0,2,0,2,18,5,13,,2005
Mike Holmgren,SEA,16,13,3,0,160,86,74,0,272,161,111,0,3,2,1,10,4,6,24,13,11,NFC Champions,2005
Mike Nolan,SFO,16,4,12,0,55,18,37,0,55,18,37,0,0,0,0,0,0,0,0,0,0,,2005
Mike Martz,STL,5,2,3,0,85,53,32,0,85,53,32,0,0,0,0,7,3,4,7,3,4,Fired after week 5,2005
Joe Vitt,STL,11,4,7,0,11,4,7,0,21,9,12,0,0,0,0,0,0,0,0,0,0,Coach starting week 6,2005
Jon Gruden,TAM,16,11,5,0,112,57,55,0,229,117,112,0,1,0,1,5,3,2,10,5,5,,2005
Jeff Fisher,TEN,16,4,12,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,2005
Joe Gibbs,WAS,16,10,6,0,248,154,94,0,248,154,94,0,2,1,1,24,17,7,24,17,7,,2005
Dennis Green,ARI,16,6,10,0,48,16,32,0,207,113,94,0,0,0,0,0,0,0,12,4,8,,2004
Jim Mora,ATL,16,11,5,0,48,26,22,0,64,31,33,0,2,1,1,2,1,1,2,1,1,,2004
Brian Billick,BAL,16,9,7,0,144,80,64,0,144,80,64,0,0,0,0,8,5,3,8,5,3,,2004
Mike Mularkey,BUF,16,9,7,0,32,14,18,0,89,36,53,0,0,0,0,0,0,0,2,1,1,,2004
John Fox,CAR,16,7,9,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,,2004
Lovie Smith,CHI,16,5,11,0,144,81,63,0,193,92,100,1,0,0,0,6,3,3,6,3,3,,2004
Marvin Lewis,CIN,16,8,8,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,,2004
Butch Davis,CLE,11,3,8,0,59,24,35,0,59,24,35,0,0,0,0,1,0,1,1,0,1,Fired after week 12,2004
Terry Robiskie,CLE,5,1,4,0,5,1,4,0,8,2,6,0,0,0,0,0,0,0,0,0,0,Coach starting week 13,2004
Bill Parcells,DAL,16,6,10,0,64,34,30,0,303,172,130,1,0,0,0,2,0,2,19,11,8,,2004
Mike Shanahan,DEN,16,10,6,0,224,138,86,0,308,170,138,0,1,0,1,13,8,5,14,8,6,,2004
Steve Mariucci,DET,16,6,10,0,43,15,28,0,139,72,67,0,0,0,0,0,0,0,7,3,4,,2004
Mike Sherman,GNB,16,10,6,0,96,57,39,0,96,57,39,0,1,0,1,6,2,4,6,2,4,,2004
Dom Capers,HOU,16,7,9,0,64,18,46,0,128,48,80,0,0,0,0,0,0,0,2,1,1,,2004
Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,2,1,1,13,7,6,19,9,10,,2004
Jack Del Rio,JAX,16,9,7,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,,2004
Dick Vermeil,KAN,16,7,9,0,80,44,36,0,229,120,109,0,0,0,0,1,0,1,11,6,5,,2004
Dave Wannstedt,MIA,9,1,8,0,73,42,31,0,169,82,87,0,0,0,0,3,1,2,5,2,3,Fired after week 9,2004
Jim Bates,MIA,7,3,4,0,7,3,4,0,7,3,4,0,0,0,0,0,0,0,0,0,0,Coach starting week 11,2004
Mike Tice,MIN,16,8,8,0,65,32,33,0,65,32,33,0,2,1,1,2,1,1,2,1,1,,2004
Jim Haslett,NOR,16,8,8,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,,2004
Bill Belichick,NWE,16,14,2,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions,2004
Tom Coughlin,NYG,16,6,10,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,,2004
Herm Edwards,NYJ,16,10,6,0,80,39,41,0,128,54,74,0,2,1,1,5,2,3,6,2,4,,2004
Norv Turner,OAK,16,5,11,0,32,9,23,0,237,114,122,1,0,0,0,0,0,0,8,4,4,,2004
Andy Reid,PHI,16,13,3,0,224,130,93,1,402,257,144,1,3,2,1,19,10,9,38,22,16,NFC Champions,2004
Bill Cowher,PIT,16,15,1,0,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,,2004
Marty Schottenheimer,SDG,16,12,4,0,80,47,33,0,327,200,126,1,1,0,1,2,0,2,18,5,13,,2004
Mike Holmgren,SEA,16,9,7,0,160,86,74,0,272,161,111,0,1,0,1,10,4,6,24,13,11,,2004
Dennis Erickson,SFO,16,2,14,0,32,9,23,0,96,40,56,0,0,0,0,0,0,0,0,0,0,,2004
Mike Martz,STL,16,8,8,0,85,53,32,0,85,53,32,0,2,1,1,7,3,4,7,3,4,,2004
Jon Gruden,TAM,16,5,11,0,112,57,55,0,229,117,112,0,0,0,0,5,3,2,10,5,5,,2004
Jeff Fisher,TEN,16,5,11,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,2004
Joe Gibbs,WAS,16,6,10,0,248,154,94,0,248,154,94,0,0,0,0,24,17,7,24,17,7,,2004
Dave McGinnis,ARI,16,4,12,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,,2003
Dan Reeves,ATL,13,3,10,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,Fired after week 14,2003
Wade Phillips,ATL,3,2,1,0,3,2,1,0,146,82,64,0,0,0,0,0,0,0,6,1,5,Coach starting week 15,2003
Brian Billick,BAL,16,10,6,0,144,80,64,0,144,80,64,0,1,0,1,8,5,3,8,5,3,,2003
Gregg Williams,BUF,16,6,10,0,48,17,31,0,56,22,34,0,0,0,0,0,0,0,0,0,0,,2003
John Fox,CAR,16,11,5,0,144,73,71,0,256,133,123,0,4,3,1,8,5,3,15,8,7,NFC Champions,2003
Dick Jauron,CHI,16,7,9,0,80,35,45,0,142,60,82,0,0,0,0,1,0,1,1,0,1,,2003
Marvin Lewis,CIN,16,8,8,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,,2003
Butch Davis,CLE,16,5,11,0,59,24,35,0,59,24,35,0,0,0,0,1,0,1,1,0,1,,2003
Bill Parcells,DAL,16,10,6,0,64,34,30,0,303,172,130,1,1,0,1,2,0,2,19,11,8,,2003
Mike Shanahan,DEN,16,10,6,0,224,138,86,0,308,170,138,0,1,0,1,13,8,5,14,8,6,,2003
Steve Mariucci,DET,16,5,11,0,43,15,28,0,139,72,67,0,0,0,0,0,0,0,7,3,4,,2003
Mike Sherman,GNB,16,10,6,0,96,57,39,0,96,57,39,0,2,1,1,6,2,4,6,2,4,,2003
Dom Capers,HOU,16,5,11,0,64,18,46,0,128,48,80,0,0,0,0,0,0,0,2,1,1,,2003
Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,3,2,1,13,7,6,19,9,10,,2003
Jack Del Rio,JAX,16,5,11,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,,2003
Dick Vermeil,KAN,16,13,3,0,80,44,36,0,229,120,109,0,1,0,1,1,0,1,11,6,5,,2003
Dave Wannstedt,MIA,16,10,6,0,73,42,31,0,169,82,87,0,0,0,0,3,1,2,5,2,3,,2003
Mike Tice,MIN,16,9,7,0,65,32,33,0,65,32,33,0,0,0,0,2,1,1,2,1,1,,2003
Jim Haslett,NOR,16,8,8,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,,2003
Bill Belichick,NWE,16,14,2,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions,2003
Jim Fassel,NYG,16,4,12,0,112,58,53,1,112,58,53,1,0,0,0,5,2,3,5,2,3,,2003
Herm Edwards,NYJ,16,6,10,0,80,39,41,0,128,54,74,0,0,0,0,5,2,3,6,2,4,,2003
Bill Callahan,OAK,16,4,12,0,32,15,17,0,43,18,25,0,0,0,0,3,2,1,3,2,1,,2003
Andy Reid,PHI,16,12,4,0,224,130,93,1,402,257,144,1,2,1,1,19,10,9,38,22,16,,2003
Bill Cowher,PIT,16,6,10,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,,2003
Marty Schottenheimer,SDG,16,4,12,0,80,47,33,0,327,200,126,1,0,0,0,2,0,2,18,5,13,,2003
Mike Holmgren,SEA,16,10,6,0,160,86,74,0,272,161,111,0,1,0,1,10,4,6,24,13,11,,2003
Dennis Erickson,SFO,16,7,9,0,32,9,23,0,96,40,56,0,0,0,0,0,0,0,0,0,0,,2003
Mike Martz,STL,16,12,4,0,85,53,32,0,85,53,32,0,1,0,1,7,3,4,7,3,4,,2003
Jon Gruden,TAM,16,7,9,0,112,57,55,0,229,117,112,0,0,0,0,5,3,2,10,5,5,,2003
Jeff Fisher,TEN,16,12,4,0,262,142,120,0,339,173,165,1,2,1,1,11,5,6,11,5,6,,2003
Steve Spurrier,WAS,16,5,11,0,32,12,20,0,32,12,20,0,0,0,0,0,0,0,0,0,0,,2003
Dave McGinnis,ARI,16,5,11,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,,2002
Dan Reeves,ATL,16,9,6,1,109,49,59,1,357,190,165,2,2,1,1,5,3,2,20,11,9,,2002
Brian Billick,BAL,16,7,9,0,144,80,64,0,144,80,64,0,0,0,0,8,5,3,8,5,3,,2002
Gregg Williams,BUF,16,8,8,0,48,17,31,0,56,22,34,0,0,0,0,0,0,0,0,0,0,,2002
John Fox,CAR,16,7,9,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,,2002
Dick Jauron,CHI,16,4,12,0,80,35,45,0,142,60,82,0,0,0,0,1,0,1,1,0,1,,2002
Dick LeBeau,CIN,16,2,14,0,45,12,33,0,45,12,33,0,0,0,0,0,0,0,0,0,0,,2002
Butch Davis,CLE,16,9,7,0,59,24,35,0,59,24,35,0,1,0,1,1,0,1,1,0,1,,2002
Dave Campo,DAL,16,5,11,0,48,15,33,0,48,15,33,0,0,0,0,0,0,0,0,0,0,,2002
Mike Shanahan,DEN,16,9,7,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,2002
Marty Mornhinweg,DET,16,3,13,0,32,5,27,0,32,5,27,0,0,0,0,0,0,0,0,0,0,,2002
Mike Sherman,GNB,16,12,4,0,96,57,39,0,96,57,39,0,1,0,1,6,2,4,6,2,4,,2002
Dom Capers,HOU,16,4,12,0,64,18,46,0,128,48,80,0,0,0,0,0,0,0,2,1,1,,2002
Tony Dungy,IND,16,10,6,0,112,85,27,0,208,139,69,0,1,0,1,13,7,6,19,9,10,,2002
Tom Coughlin,JAX,16,6,10,0,128,68,60,0,320,170,150,0,0,0,0,8,4,4,19,12,7,,2002
Dick Vermeil,KAN,16,8,8,0,80,44,36,0,229,120,109,0,0,0,0,1,0,1,11,6,5,,2002
Dave Wannstedt,MIA,16,9,7,0,73,42,31,0,169,82,87,0,0,0,0,3,1,2,5,2,3,,2002
Mike Tice,MIN,16,6,10,0,65,32,33,0,65,32,33,0,0,0,0,2,1,1,2,1,1,,2002
Jim Haslett,NOR,16,9,7,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,,2002
Bill Belichick,NWE,16,9,7,0,386,266,120,0,466,302,164,0,0,0,0,42,30,12,44,31,13,,2002
Jim Fassel,NYG,16,10,6,0,112,58,53,1,112,58,53,1,1,0,1,5,2,3,5,2,3,,2002
Herm Edwards,NYJ,16,9,7,0,80,39,41,0,128,54,74,0,2,1,1,5,2,3,6,2,4,,2002
Bill Callahan,OAK,16,11,5,0,32,15,17,0,43,18,25,0,3,2,1,3,2,1,3,2,1,AFC Champions,2002
Andy Reid,PHI,16,12,4,0,224,130,93,1,402,257,144,1,2,1,1,19,10,9,38,22,16,,2002
Bill Cowher,PIT,16,10,5,1,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,,2002
Marty Schottenheimer,SDG,16,8,8,0,80,47,33,0,327,200,126,1,0,0,0,2,0,2,18,5,13,,2002
Mike Holmgren,SEA,16,7,9,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,,2002
Steve Mariucci,SFO,16,10,6,0,96,57,39,0,139,72,67,0,2,1,1,7,3,4,7,3,4,,2002
Mike Martz,STL,16,7,9,0,85,53,32,0,85,53,32,0,0,0,0,7,3,4,7,3,4,,2002
Jon Gruden,TAM,16,12,4,0,112,57,55,0,229,117,112,0,3,3,0,5,3,2,10,5,5,Super Bowl Champions,2002
Jeff Fisher,TEN,16,11,5,0,262,142,120,0,339,173,165,1,2,1,1,11,5,6,11,5,6,,2002
Steve Spurrier,WAS,16,7,9,0,32,12,20,0,32,12,20,0,0,0,0,0,0,0,0,0,0,,2002
Dave McGinnis,ARI,16,7,9,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,,2001
Dan Reeves,ATL,16,7,9,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,,2001
Brian Billick,BAL,16,10,6,0,144,80,64,0,144,80,64,0,2,1,1,8,5,3,8,5,3,,2001
Gregg Williams,BUF,16,3,13,0,48,17,31,0,56,22,34,0,0,0,0,0,0,0,0,0,0,,2001
George Seifert,CAR,16,1,15,0,48,16,32,0,176,114,62,0,0,0,0,0,0,0,15,10,5,,2001
Dick Jauron,CHI,16,13,3,0,80,35,45,0,142,60,82,0,1,0,1,1,0,1,1,0,1,,2001
Dick LeBeau,CIN,16,6,10,0,45,12,33,0,45,12,33,0,0,0,0,0,0,0,0,0,0,,2001
Butch Davis,CLE,16,7,9,0,59,24,35,0,59,24,35,0,0,0,0,1,0,1,1,0,1,,2001
